text,label,reasoning
gelisah bgt astaga,0.0,
"tidur susah, pikiran kacau, hati gelisah. Semua tak selaras",1.0,gangguan tidur
"Serba salah, mundur sayang, maju ragu. Diem di tempat resah dan gelisah ğŸ˜ŒğŸ˜ŒğŸ˜Œ",0.0,
Udah ngalihin fokus ke yang lain tapi tetep cemas,1.0,konsentrasi berkurang
"Resah dan gelisah deh mimin, dah sebulan lewat coy. Maksudx apaan.",0.0,
setiap istirahat pasti gelisah kyk ada yg ganjel tp apaan ya,1.0,gangguan tidur
"Rasanya takut, cemas, apa saya bisa? Dan semoga keluarga saya atau kita terlindungi :)",0.0,
Pernah gk sih ngerasain gelisah tapi gk tau sebabnya apa?,0.0,
"udaa 2 harian tidur gue ga nyenyak bgt, kaya gelisah gt. kenapa yaaa :( [].",1.0,gangguan tidur
"Bener-bener cemas, pengen nangis.",1.0,suram pesimis
"selalu gelisah tiap malem, pdahal gatau kenapa, salah apa. aneh.",1.0,gangguan tidur
"bingung ga enak bgt akhir"" ini tiap mau tidur bawaannya gelisah terus",1.0,gangguan tidur
"kdg yang dibutuhin kalo lagi ada masalah adalah ketawa-ketawa sampe lupa kalo lagi ada masalah, pas inget lagi kayak gelisah aj gitu â€œyahh anj ternyata msh ada beban sedihâ€ asdfghjklzxccvbnm",1.0,konsentrasi berkurang
Sebab cemas ini adalah kamu.,0.0,
Kadang pemikiran sendiri yang bikin diri cemas dan takut buat nutupin mata sampai sampai ga tidur,1.0,gangguan tidur
"Tiap bangun tidur pasti gelisah dan deg2an, sampe kapan cobakğŸ™‚",0.0,
"Cuman bisa bersemoga, walaupun harap2 cemas kalo awalannya begini....",0.0,
"restive = gelisah, resah",0.0,
"""Tidak menyesali ataupun dendam/marah pada hal-hal yang sudah berlalu, dan tidak menaruh rasa cemas yang berlebihan akan masa mendatang, itulah ketenangan sejati""",0.0,
"Kalo cowoknya sakit, sebenarnya cewek itu juga ngerasa sakit secara ga langsung. Perasaan nya pasti gak tenang dan gelisah. :')",0.0,
"Aku pernah menjadi orang paling cemas sebelum aku menjadi orang paling ihklas, aku juga pernah menjadi orang paling khawatir sebelum semuanya berakhir",0.0,
Berjaya online at 9am. Tidur pun dalam keadaan gelisah what is wrong with me,1.0,gangguan tidur
Gk bisa tidorr.Gelisah aja bawaannya,1.0,gangguan tidur
Udah cemas ngangjat telponnya,0.0,
sedikit resah. sedikit gelisah. yang dirasa selalu merasa bersalah. maaf jikalau saya belum bisa menjadi yang terbaik seperti yang sudah sudah:â€™,1.0,rasa bersalah
Gelisah bgt dah dari tadi pagi ğŸ˜­ğŸ˜­ğŸ˜­,0.0,
di bikin gelisah mulu anjg,0.0,
Ngantuk tp gelisah pas tidur tuh gimana,0.0,
Ini gua kenapa ya...Udah mood berantakan trus tuh jantungnya kayak detaknya kuat banget... gelisah banget rasanya.Ada sesuatu apa ya???,0.0,
GAJE BGT SI RA TBTB GELISAH KEKK PAAAN SIHHH GBLOK,0.0,
"Aku patah dan rapuh, aku terluka, aku sudah tak sanggup lagi menahan gelisah, menahan rasa sayang. Samapi sekarang pun aku di abaikan tak di lihat bahkan di tinggalkan jauh. Aku memang tidak seperti yg dia inginkan, mangkanya aku mundur saja ya.",0.0,
"# saran lagu yang bikin tenang dong, gatau kenapa tiba-tiba muncul perasaan gusar/gelisah gini. Thanks!",0.0,
Gelisah terooosss huuu,0.0,
kenapa hari ini hati rasanya nggak baik ..cemburu ?.gelisah ?.kecewa ?.merasa gagal ?,1.0,gangguan tidur
Jd kebiasaan dr sd kalau gua mikir sesuatu bakal jd cemas gk bisa tidr,1.0,gangguan tidur
"Dari kemarin kemarin ngerasa ga mood, sensitiv bgt parah, perasaan gelisah, selalu dibuat kaget dan bnyk kejutan setiap harinya yg hampir bikin otak gue mo meledak, semua org jadi sasaran atas mood yg naik turun.Tpi hari ini ngerasa bersyukur banget drama perkuliahaan ini slesai",1.0,hilang minat
"Malam ini dia terus mengoceh soal uang, ku jadi merasa bingung harus bagaimana. Pernah dia bilang jangan cemas soal uang, namun dia terus mengoceh soal uang.",0.0,
Ngerasa gelisah bgt akhir2 ini.,0.0,
Yak allah gelisah saya,0.0,
tapi hatinya mah tetep gelisah walau mulut ngomong,0.0,
"menunggu ketidakpastian, harap harap cemas",0.0,
"pernah jadi orang yang paling cemas, sebelum jadi orang yang paling ikhlas",0.0,
"kalian waktu baca au pernah gak sih sampai kebawa ke rl, maksudku suasananya, rasanya. .soalnya aku kok gini yaa ğŸ˜­.mood ku jadi naik turun, ikut gelisah mulu. waktu baca au yang topik nya soal mental illness ğŸ™ hari-hari ku jadi gak tenang....dan sekarang aku takut.",0.0,
"Hai, mau cerita... Akhir-akhir ini aku merasa gelisah, susah tidur, aku cari di google katanya sih gejala depresi ringan, aku dulu pernah di bilangin tmn mama ku psikolog ""jangan banyak berfikir yg gk penting kamu mudah depresi"" trs aku sering bernafas tdk beraturan.",1.0,gangguan tidur
"udah beberapa hari ini rasanya gelisah mulu, skrg mual, kaya org ...",0.0,
O tiada ku gelisah.Akan masa menjelang.Ku berjalan serta Yesus.Maka hatiku tenang ..Setiap nyanyi lagu Tak ku tahu kan hari esok dibagian ini selalu pengen nangisğŸ˜­.Soalnya aku menyanyikannya tapi tidak melakukannyağŸ˜­.Maaf Tuhan aku terlalu sering khawatirğŸ˜­ğŸ˜­,0.0,
Mengendalikan rasa cemas tidak semudah kedengarannya..,0.0,
sejak pandemi gabuka laptop sehari berasa gelisah ky punya beban hidup berat banget,1.0,energi berkurang
Orang yang gelisah dan takut dapat dilihat dari seringnya menyentuh wajah dan membunyikan jari-jari tangan.,0.0,
"tau ga se rek ngeroso akeh pikiran tp mbo opo seng dipikir :( , kok rasane gelisah ae",0.0,
perasaan sensitif bikin hati gelisah.,0.0,
Biar ga gelisah gmn siğŸ™‚,0.0,
abis di confessin gelisah bgt dah gua aelahğŸ˜­,0.0,
Resah.. dan.. gelisah.. ğŸµğŸ¶ğŸ¤,0.0,
"Baru kali ini gue ngalamin gangguan kecemasan dalam tidur, dan itu gak enak banget. Padahal lagi gak mikir apa2, tapi gelisah",1.0,gangguan tidur
udah semingguan rasanya gelisah terus kepala rasanya penuh pengen istirahat pdh tidur terus,1.0,energi berkurang
kok ak gelisah yağŸ˜ğŸ˜ğŸ˜ğŸ˜,0.0,
"Cemas, serba ketakutan,, takut perang terjadi, takut krisis ekonomi, takut polusi udara, wabah penyakit, air bersih, dll. Kapan senengnya?",1.0,hilang minat
yaallah knp gelisah gini,0.0,
perasaan gelisah sudah mulai bermunculan ğŸ˜±,0.0,
Gelisah bgt bgsd,0.0,
"Hari-hari penuh gelisah, dengan pemasukan yang belum tau arah..Semoga selalu dapat apa yg kita butuhkan dan diberi kelibihan untuk sebuah keinginan...5 - 5 - 21",0.0,
1 jam bangun 1 jam bangun ngde si gelisah kene kle cak sete poles dwg,0.0,
"Belakangan ini semua serba mendadak, mendadak seneng, mendadak sedih, mendadak cemas, mendadak santai, mendadak semangat, mendadak lesu, dll. Ga suka sebenernya sama semua yang dadakan, ya tapi mau gimana. Hahaha",1.0,energi berkurang
"i'm so sorry, tapi bisa kasi kata2 semangat gak? aku cemas banget gak bisa bahagiain anak2.",1.0,rasa bersalah
"Gw gasuka cemas anjir, gasuka wehhhğŸ˜­",0.0,
"Dibalik online mu, ada hati yg harap2 cemas menunggu kabar darimuğŸ¤£",0.0,
resah gelisah parai,0.0,
gelisah ga tau kenapa.ga tenang aja rasanya,0.0,
"Sometimes I can't even rest. Selalu cemas, khawatir ini itu, padahal udah capek",1.0,gangguan tidur
Rasanya gelisah anjir.,0.0,
gelisah mulu gatau karena apa,0.0,
"Hari demi hari, harapan itu kian bertumbuh, semakin aku merasa dekat, semakin banyak yg kuharapkan darimu, dan kadang2 aku menjadi  cemas karena hal tersebut. Sampai2 aku menjaid khawatir, khawatir kalau hal itu membuat harapan ku menganggu. Terutama menganggu km.",0.0,
Uti demam pon aku dah sedih dan gelisah.. Apatah lagi si kenit nii demam haihhh laaa,0.0,
"udh berapa hari kalo malem kaya gelisah gtu terus pas siang nyaa pikiran kaya kosong, kenapa yaa",1.0,energi berkurang
"dr kmrn tdr gaenak bgt, gelisah mulu bawaan nya capeğŸ¥´",1.0,energi berkurang
"ğŸ¦ˆ aku belum tidur, dan sekarang kepalaku sakit banget. Ngantuk, tapi gak bisa tidur gitu, udah coba merem juga tapi malah gelisah ğŸ¤•ğŸ¤•",1.0,gangguan tidur
Terlalu cemas.Terlalu khawatir.Terlalu takut,0.0,
Resah dan gelisah.,0.0,
Akan selalu ada tenang di sela sela gelisah,0.0,
"dismayed = kecewa, cemas",0.0,
Ini kok jantung aku deg2 an nya kenceng banget ya. Gelisah bgt. Tapi gatau apa yg aku gelisahin. Gaenak bgt perasaan.....,0.0,
Lagi gelisah. Semoga yg disana baik2 saja yah....Ya Allah lindungilah dia.....Amin ya robbal alamin,0.0,
"kalo temen""ku sudah reply tweetku yg menganduy opini, aku cemas ğŸ¥µ",0.0,
"Aku lapar, lemas, lesu, gelisah.",1.0,energi berkurang
Gelisah mendadak. Kenape ye..,0.0,
"Tidurnya 3 jam, selebihnya gelisah. Coba berbagai posisi dan cara tak kunjung terlelap. Bener-bener ini pikiran harus bisa ngendaliinnya..",1.0,gangguan tidur
STOP GUE GAMAU GELISAH GUNDAH GULANA LAGI,0.0,
Harap harap cemas,0.0,
Gelisah gini woyyyiiiğŸ˜Š,0.0,
Ada ga nih yang kalau lagi sakit bukannya bisa tidur nyenyak tp malah tidur gelisah mulu?,1.0,gangguan tidur
Harap2 cemas sampe mau nangis deh,0.0,
"Catia hari sabtu.Presntasi Statin hari sabtu..On Going :.Laprak PSKE.Laprak PO.Tugas tugas..DAN SAMPE SEKARSNG BELUM CLEAR LATIHAN CATIA 2 PRODUK HAHAHAH..mantab, masih mode nyantuy dahal did dalem ya gelisah haha",0.0,
"Aku gelisah, pas kamu datang ubah kegelisahan dan menjadi kegelisanku bertambah khawatir. Esok aku mencoba hidup tanpa kabar darimu lagi, lekas pergilah kamu dari rasa tak ikhlasku.",0.0,
Se cemas itukah gue? *nanya sama diri gue yg lain. Sampe dikirim rezeki punya temen yg baik. Terharu,0.0,
Gelisah akibat berimajinasi terlalu lama dan tinggi sampe males yang mau tidur.,1.0,gangguan tidur
"Kayak ada sesuatu yg mengganjal, ada yg aneh, tapi ga tau apaan, rasanya gelisah gitu.",0.0,
"""Tidak menyesali ataupun dendam/marah pada hal-hal yang sudah berlalu, dan tidak menaruh rasa cemas yang berlebihan akan masa mendatang, itulah ketenangan sejati""",0.0,
Demi Tuhan capek banget sama cemas.,1.0,energi berkurang
"Selama 3 tahun nyaman dgn kondisi seperti ini, dalam cemas bertanya tanya apakah beberapa hari kemudian semua akan berubah? I don't know, lagi lagi krisis kepercayaan diriğŸ˜­",1.0,rasa bersalah
Rasanyaa hari ini sedikit cemas.,0.0,
"Tidak menyesali ataupun dendam/marah pada hal-hal yang sudah berlalu,dan tidak menaruh rasa cemas yang berlebihan akan masa mendatang,itulah ketenangan sejati~",0.0,
"Harap harap cemas ğŸ˜¢, harus seperti ini terus.",0.0,
"Hmm ke gatau maua ngapain, tapi gelisah",1.0,energi berkurang
Gelisah banget ga bisa tidur ğŸ™,1.0,gangguan tidur
sedih karena belum bisa menghasilkan apa2 tapi suka mengeluh tiap hari karena kelelahan ngurus anak ğŸ˜­ lihat badan malah makin membesar ya ampuuun makin gelisah,1.0,rasa bersalah
"Setiap abis magrib knp ya pasti hati ini gelisah kyk gak bisa nerima keadaan. Tapi dgn keadaan begini gak bisa berbuat apa2, kalo di lakuin juga cuman bisa memperkeruh suasana ğŸ˜",1.0,rasa bersalah
Kok resah dan gelisah yo ğŸ¤”,0.0,
Gelisah bgt kira2 mau ada apa ya,0.0,
"tbtb gelisah, tf is wrong with meh?",0.0,
"sumpah aku gabisa tidur...tidur sih, tapi kek gak tidur...gelisah banget..",1.0,gangguan tidur
"kenapa ya kayaknya malem ini gue gelisah, sedih kayak pengen nangis tp gatau sedihin apa",0.0,
mengapa bgtu gelisah? yg pasti bukan krna thr tanpa tukin. ..tpi smua krna koe,0.0,
"Skripsi tidak berbahaya. Tapi gelisah berlanjutan karena skripsi belum selesai, bisa berbahaya bagi jantung.",0.0,
apa tida bisa ya ga ganggu hidup orang? sampe cemas dan gabisa tidurğŸ˜­ğŸ˜­ğŸ˜­,1.0,gangguan tidur
gimana si biar tenang asli tbtb degdegan trs keringetan ama gelisah gituğŸ˜”,0.0,
Dan lagi tiba-tiba perasaan jadi deg deg an dan cemas tanpa tau karena apa :(.,0.0,
"pagiÂ² udah ga enak banget nih hati, cemas banget rasanya ğŸ˜”",0.0,
"Jika kamu resah &amp; gelisah adukan saja kepada RABB""mu dan bacalah Al-Qur'an agar hati jadi sejuk dan kurangi menyinyir terhadap orang lain #bowochallenge #iwartabowochallenge",0.0,
mengendalikan rasa cemas yang berlebihan,0.0,
Saat mendengar lagu hati jd tenang dan saat mendengar Al-Quran hati jadi serabut dan gelisah.. itu petanda hati dilanda CORONA BERONA.. perlu direnungi.. kerana hidup itu bukan main-main,0.0,
resah gelisah menghantui diri,0.0,
"Masa puncak stress gua udh lewat dan gua berisiknya baru skrg. After going out with my friends yesterday, that makes me feel kinda better. Tadinya sempet takut dan gelisah mau keluar, yes krn anxiety lg aktif. But well I hope i'll gain some weight after this badai, bismillaah",0.0,
paling cemas kalau mama udah sakit.,0.0,
jangan cemas dulu:),0.0,
"""kemarin cemas setengah mati, sekarang istri udah sadar kaku lagi.. gimana sih""",0.0,
Terakhir kali ngerasain hal se gelisah ini pas hari Rabu. Pas tau mamanya meninggal. Semoga ini bukan pertanda lagi yaa,0.0,
Ntah butuh brp tahun terjun sampe bisa ngerasain turun jaga tanpa rasa cemas ğŸ˜¶ğŸ¥²,0.0,
"Mau nanya, pernah gak sih kalian cemas sama hal yang kalian suka? Bahkan karena suka banget sama hal itu, sampe ngerasa itu adalah bagian dari hidup kalian. Tapi setiap kali ngelakuin atau inget hal itu kalian jadi cemas. Menurut kalian harus gimana? :(",0.0,
"Np sih w tiap piket tuh selalu gelisah :"" padahal cuma piket, tp tkut bgt rasanya, degdegan :""",0.0,
DEMI ALLAH GUA MASIH CEMAS.,0.0,
"waktu terus berjalan..hari terus berlalu..seiring itu juga hati semakin gelisah dan terlukaa...ya Allah aku tau Kau mengujiku dgn rasa sabar ini, dan Kau mengujiku dgn segala yg terjadi..ampuni aku yg mulai melemah dan hilang semangat untuk terus berjuang dan bertahan...",1.0,hilang minat
Ku ingin hembuskan gelisah di dada dengan nafasku,0.0,
Kenapa setiap mau tidur pagi gue gelisah trsğŸ¤¡ğŸ¤¡,1.0,gangguan tidur
"Cemas sendiri, sedih sendiri, tidak memiliki tenang",0.0,
"Ada apa ini aku cemas, aduh moga gapapa",0.0,
"Gue tuh suka gini ya, deg degan dengan hal yang ga tentu, gue ga tau kenapa tapi rasanya gelisah banget. ANEHHH.",0.0,
Gelisah bgt anjir kenapa ya,0.0,
tapi hatinya mah tetep gelisah walau mulut ngomong,0.0,
Daritadi saya gelisah sampai sesak. What's wrong?,0.0,
"Mulai cemas lagi kalo dah bnyk jadwal, pdhl kemarin-kemarin dah tersusun dgn rapi. Kok biso kecolongan aduh :')",0.0,
"Adf- my ada yang tau gak sih aku ini kenapa? Dari kemarin rasanya gelisah, kayak cemas/ khawatir berlebihan, tiba-tiba ngerasa sedih, takut aja. Tapi aku sendiri juga gak tau kenapa kok gini",0.0,
"Gegana, gelisah, speecheles entah apa penyebabnya :""",0.0,
dah males.. gue jadi gelisah faaak,0.0,
Seneng tapi juga cemas.,0.0,
Cemas nih cemas,0.0,
jujurly gue gelisah bgt,0.0,
Nih dri td hati gw gelisah mulu,0.0,
"Nanti ketika kamu sudah bosan dengan yang baru, lalu kamu menengok ke belakang dan merasa bersalah padaku, kamu jangan sedikitpun gelisah. Percayalah, aku sudah memaafkanmu. Meski aku tak akan pernah menerimamu lagi.",0.0,
Aku membutuhkan adit bukan untuk stalking ataupun untuk hal hal aneh karena aku sendiri udah mulai belajar gak stalking cuma karena takut gangguan mental tambah memburuk walaupun masih merasa cemas dan merasa takut kalo gak stalking aku tahan supaya adit gak merasa terganggu,0.0,
Gelisah terus astagfirullah,0.0,
"acas deg degan tapi gatau kenapa, gaada penyebab, gelisah, sakit perut tapi takut gitu, tau ah capek, ini udah ketiga kalinya untuk hari ini, hah â€” hah :)",1.0,energi berkurang
"Selalu cemas tentang hari nanti, padahal hari ini pun belum berganti.",0.0,
setiap kali cemas kenapeee penyakitnya lari ke perut siih,0.0,
Kalo gelisah cari posisi terbaik sebelum tidur berasa kayak ada yg perhatikan ki ğŸ™„,0.0,
Resah dan gelisah,0.0,
"Di malam hari, menuju pagi .Sedikit cemas, banyak rindunya",0.0,
"bbrp hari ini gue kayaknya ga baik baik aja sampe kayak gampang bgt nangis, takut, cemas, sedihhh ajaa bawaannya. sampe mikir ini gue nangis mulu batal gakya puasanya?",0.0,
"Ini udah beberapa hari kalo tidur bawaannya takut, gelisah, degâ€an, ngerasa sendiri, nafasnya juga kadang berat banget.....kenapa ya....kaya takut sama gelisah mulu ya allah",0.0,
"cape overtingking,cape cemas berlebihan, cape pokonya cape",1.0,energi berkurang
cemas gak? cemas gak? cemas lah masa enggakğŸ˜…,0.0,
Bukannya semakin tenang malah semakin gelisah hati ini,0.0,
ada yang boleh aku ketuk dm nya gak? aku gelisah banget kepikiran,0.0,
Akhirnya gelisah lagi uhh mmhhh ahh,0.0,
Tak perlu berlari cukup menapaki satu persatu batu yang sedang dipijaki secara perlahan dan resapi tanpa ada rasa cemas penuh emosi,0.0,
"akhir"" ini ngerasa takut &amp; cemas banget mikirin hari h buat ospek kerja besuk seninğŸ˜­ğŸ¥º.jujur takut banget karna aku bukan yg cpt banget deket sama temen,takut gabisa,takut ngecewain,dan kalo tiba tiba keinget langsung nangisğŸ˜",1.0,harga diri berkurang
"Ini kenapa gabisa tidur, gelisah bgt...",1.0,gangguan tidur
Kuingin hembuskan gelisah di dada dengan nafasku,0.0,
Resah gelisah mengiringi,0.0,
hlt! knp ya aku suka nervous tbtb terus cemas deg2an sampe keringetan,0.0,
"Tidak banyak orang yang yakin akan doanya, tidak banyak pula orang yang setia menunggu dengan apa yang di doakan. Doa itu unik, ada harapan dan rasa, ada khawatir dan gelisah, ada tangis dan bahagia. Tapi akhir dari doa akan selalu yang terbaik untuk manusia.",0.0,
"tanyarl jantung aku sering degdegan gitu kdg sampe bermingguÂ² trs normal lagi sampe beberapa minggu jg, ada yg tau ini kenapa gak ya? atau mungkin aku sering cemas sama stress aja ya",0.0,
"Gelisah bgt sumpah, viewsnya makin lambat naiknyağŸ˜­",0.0,
Baru ini bangun tidur ngerasa gelisah dan pegelÂ² ğŸ™„,0.0,
Cemas bgt 5 hari ga pulang weyğŸ˜­,0.0,
Hidup aku huru hara. Tiada jalan penyelesaian. Takut akan sesuatu yang tak pasti. Gelisah tak tentu arah.,0.0,
GELISAH GALAU MERASANAğŸ˜«,0.0,
Bener bener gabisa disuruh diem nyimak sampe berjam-jam. Langsung cemas bawaannya.,0.0,
aku belum menyerah.hanya sedikit gelisah.,0.0,
Sbnrnya cemas sih.Asli kyk tkut bgt.Gw udh smpe mainin/gigitin kuku :(,0.0,
Kalo mau jujur sih gelisah sejak hari itu walau bilangnya bukan....,0.0,
Sejak kebelakangan ni asyik rasa resah dan gelisah je. Haihh,0.0,
gelisah bgt ini dr kmrn knp ya,0.0,
Gelisah bat bawaanya gatau kenapa,0.0,
kenal aja kaga dah gelisah,0.0,
"Gelisah,.Terkunci dalam semua gerak.Berkecambuk dalam otak perdebatan brisik tentang keputusan. Berteman dengan ketakutan dan resiko",0.0,
"Wah dah mulai gelisah, mari tidur",0.0,
Sumpah gw gelisah bgt gaboong demi knp sih,0.0,
"Agak cemas sebenarnya tadi kelas siang apa bisa kejar target. Tapi Tuhan ada aja kasih jalan, kelas rabu dipindah padahal kuis. Setidaknya nanti pagi bisa bermesraan dengan data sampai buka puasa",0.0,
"ğŸ–¤ Kalian klo lagi cemas atau gelisah gitu, jantungnya suka kerasa aneh gak sih? Apa aku doang ya?",0.0,
"ayo ayo ayo...dulu 10 tahun bisa dilewatin, masa blm sebulan aja udh gelisah",0.0,
"Waktu akan terasa lambat bagi mereka yang menunggu, terlalu panjang bagi yang gelisah, dan terlalu pendek bagi yang bahagia",0.0,
"Gelisah, resah, jdi satu. Ga bisa konsen. Tidur pun tak mampu",1.0,gangguan tidur
"Semoga Mei disertai kabar-kabar baik. Yang luka, lekas pulih. Duka berganti suka. Cemas yang lebih tenang. Dan doa-doa yang lebih sabar...#senjamu",0.0,
dari tadi gelisah mulu kek ayam mau bertelur.,0.0,
Jangan membandingkan dirimu dengan orang lain. Iri hati hanya membuat jiwamu gelisah. Jadilah diri sendiri.,0.0,
yg 5 dream dipimdahin ke unit baru tuh jadi gk si anjrit kok gua jd cemas,0.0,
"kelar utbk niat hati mau santuy santuy nonton series, e malah kepikiran mulu. cemas gue anjir",0.0,
"""Tidak menyesali ataupun dendam/marah pada hal-hal yang sudah berlalu, dan tidak menaruh rasa cemas yang berlebihan akan masa mendata #COYS",0.0,
ni biasanya kalo gelisah lama gini pasti abis itu ada deh kejadian yg ngga ngga,1.0,suram pesimis
prnah ga lu mikir sesuatu trs langsung lupa trs jadi kpikiran tadi lu mikirin apaan bangsat ini gw ga inget2 jadi gelisah sendiri,0.0,
"Dialog dini hari.. kepada diri sendiri, resah gelisah mengiringi, berharap ada yag mengerti-",0.0,
cuma aku kah yang gelisah.,0.0,
tuhkan mulai cemas,0.0,
di keluarga ayah semua pinter2 like pasti ekspektasi ke gue jg tinggiğŸ˜¢ bikin cemas bgt mikir ini huhu,1.0,konsentrasi berkurang
"Lengkap sudah. Kecewa  berpadu hati yang patah. Menghasilkan sekepal rasa gelisah. Entahlah, semoga semua ini berujung indah",0.0,
"ketika bipolar lu kambuh selamat datang sesak nafas,tremor,cemas,ketakutan,selfharm dll",1.0,gagasan membahayakan
"Kok belakangan ini perasaan lg gaenak mulu ya, kaya mellow, ga tenang, gelisah",0.0,
Kl udh kepikiran terus ga tuntas tuh rasanya gelisah banget emg,1.0,konsentrasi berkurang
Lg cemas..lg badmood..tp smangat liat law school..,0.0,
"Ya gimana nanti :â€™), cemas aing semoga bisa kontrol emosi",0.0,
"gelisah banget mau milih antara boring or chilling , TOLONGGGğŸ˜­ğŸ˜­",1.0,energi berkurang
ya allah kenapa ya udh semingguan kek gelisah gitu gangerti banget aaa,0.0,
"orang nampak kita tenang , happy macam takda problem sebab hanya satu senyuman yang kita lempar keluar tetapi sedih resah dan gelisah berjuta yang kita pendam sendiri , hanya kita yang tahu .",0.0,
"dulu tuh kalo tau ada orang yang ga suka sama aku, pasti uda langsung cemas, sedih, cari tau kenapa sampai ada orang yang gasuka.",0.0,
"Fearful. Sering mengalami perasaan sangat khawatir, sedih, atau gelisah.",0.0,
"gila, kenapa gelisah ya? *main yoyo*",0.0,
"â€œbesok kerjaâ€ seketika mual, asam lambung naik, pusing, gabisa tidur, gelisah. harus apa yaağŸ¥º",1.0,gangguan tidur
"Gelisah tak menentu!! Itulah ketika ada ujian. Tapi hadapi dan lewati. dari dulu zaman sekolah juga begitu, masa sekarang ga bisa lewati begituan. Bisalah",0.0,
"Panik, gatau panik karena apa. Gelisah sendiri, kepikiran juga",0.0,
Gabisa berhenti ini pala saya munculin mata yang harus ditatap saat cemas mulu,0.0,
"benerbener tiap hari takut, gelisah...ğŸ˜­",0.0,
ini gimana ya biar tenang. jadi gelisah gini setelah baca.,0.0,
"Aneh. Gua hari ini ga nugas dan agak luang jadi bisa baca novel yang dangkrak tapi... rasanya aneh. ğŸ˜Ÿ Dari tadi gelisah ngecek google calender jaga2 kalau salah baca. Tapi masih anehğŸ¥º gimana ini yak, spt nya harusnya mencari kesibukan untuk menghilangkan perasaan ini.",1.0,konsentrasi berkurang
ada ba benda buat aku gelisah ni,0.0,
Entah kenapa gw setiap abis sholat Ied tuh tiba2 gelisah gajelas akhirnya gak mood silaturahmi atau apalah yg biasa orang pas lebaran ngapain :(,0.0,
"Mentok tidur pasti jam 11 sampe set 12. Kalo lebih dari itu pasti cemas, knp yğŸ˜”",0.0,
"Pernah gak sih lo saking gugup, takut, dan cemas itu sampe lo pingin muntah gt",0.0,
Jangan membandingkan dirimu dengan orang lain. Iri hati hanya membuat jiwamu gelisah. Jadi diri sendiri.,0.0,
"Pas udah kelar semua begini kenapa pusing banget pala gue .......Tapi sumpah gue gamau tidur, gue gelisah banget kalau disuruh tidur.",1.0,gangguan tidur
"Gtau harus senang apa sedih. Dn gatau perasaan ini smape kapan? Gue yg ngrasain nya aja bgung tiap hari coy.. bingung sm perasaan sndiri. Sllu ga tenang, gelisah. Tapi, pasrah aja.. ada Allah. Anak ku, bisa ya.. shaina bisa.",0.0,
[cm] mau lulus aja banyak bgt rintangannya yaa ğŸ˜©ğŸ˜« capek bgt guyssss mau rest bentar tapi gabisa kayak gelisah gitu,1.0,energi berkurang
